ScientificName ,Genus,CommonName,Group,CommercialImportance,Objective,Quality,Site,Min2014,Max2014,Avg2014,Min2018,Max2018,Avg2018
Lutjanus guttatus,Lutjanus,Pargo lunarejo,fish,Pesca artesanal,Si,Primera,RGI/Baja,1750,2250,2000,2250,2500,2375
Lutjanus novemfasciatus,Lutjanus,Pargo dienton,fish,Pesca artesanal,Si,Primera,RGI/Baja,1750,2250,2000,2250,2500,2375
Lutjanus peru,Lutjanus,Huachinango,fish,Pesca artesanal,Si,Primera,RGI/Baja,1750,2250,2000,2500,4000,3250
Megapitaria squalida,Megapitaria,Almeja chocolata,invertebrate,Pesca artesanal,Si,Segunda,RGI/Baja,500,500,500,2000,2000,2000
Microlepidotus inornatus,Microlepidotus,Ronco rayadillo,fish,Pesca artesanal,No,Segunda,RGI/Baja,250,250,250,250,250,250
Mugil cephalus,Mugil,Lisa cabezona,fish,Pesca artesanal,Si,Segunda,RGI,300,600,450,600,1000,800
Mugil curema,Mugil,Lisa blanca,fish,Pesca artesanal,Si,Segunda,RGI,300,600,450,300,600,450
Mycteroperca jordani ,Mycteroperca,Baya,fish,Pesca artesanal,Si,Primera,RGI/Baja,2500,3000,2750,2500,3000,2750
Mycteroperca prionura,Mycteroperca,Garropa aserrada,fish,Pesca artesanal,No,Primera,RGI/Baja,2250,2250,2250,2500,2500,2500
Mycteroperca rosacea,Mycteroperca,Cabrilla sardinera,fish,Pesca artesanal,Si,Primera,RGI/Baja,2250,2250,2250,2500,2500,2500
Mycteroperca xenarcha ,Mycteroperca,Cabrilla escoba,fish,Pesca artesanal,No,Primera,RGI/Baja,2250,2500,2375,2500,2500,2500
Myliobatis californica,Myliobatis,Manta tecolote,fish,Pesca artesanal,Si,Primera,RGI,500,500,500,1000,2500,1750
Myliobatis longirostris,Myliobatis,Manta gavilán,fish,Pesca artesanal,Si,Primera,RGI,750,750,750,1250,1250,1250
Nematistius pectoralis,Nematistius,"Gallo, papagallo",fish,Pesca artesanal,No,Segunda,RGI,750,750,750,500,750,625
Nicholsina denticulata,Nicholsina,Perico baboso,fish,Pesca artesanal,No,Segunda,RGI,2500,2500,2500,2500,2500,2500
Nodipecten subnodosus,Nodipecten,Almeja mano de león,invertebrate,Pesca artesanal,No,Primera,RGI/Baja,6500,6500,6500,6500,6500,6500
Octopus alecto,Octopus,Pulpo,invertebrate,Pesca artesanal,Si,Primera,RGI,2000,2500,2250,5000,6000,5500
Octopus bimaculatus,Octopus,Pulpo lunarejo,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,2000,2500,2250,5000,6000,5500
Octopus fitchi,Octopus,Pulpo,invertebrate,Pesca artesanal,Si,Primera,RGI,2000,2500,2250,5000,6000,5500
Octopus hubbsorum,Octopus,Pulpo verde,invertebrate,Pesca artesanal,Si,Primera,RGI,2000,2500,2250,5000,6000,5500
Panulirus inflatus,Panulirus,Langosta azul,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,6000,6500,6250,10000,10000,10000
Panulirus interruptus,Panulirus,Langosta roja,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,6000,6500,6250,10000,10000,10000
