"","Name","Adjusted","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er"
"2","Atrina","IUU",2000,4.27,4.27,2726.91909829897,1510.27423951382,4572.97966785607,0.35863318620994,0.198625057452383,0.601419480973794,0.17931659310497,0.0993125287261916,0.300709740486897,0.00156586970352864,0.00093374567790324,0.00282730108763199,0.101220378048527,0.0586184855962165,0.174783855776512,0.0154699057019718,0.00922487838817977,0.0279321332536077,0.0110960431445309
"3","Atrina","IUU",2005,370.918,187.594,3071.82656148562,1639.95946904782,5392.18686731539,0.403993997444632,0.215680725550919,0.709158243114367,0.201996998722316,0.10784036277546,0.354579121557183,0.120748353650739,0.0687880463209298,0.226175101885512,0.114022981483769,0.0660326964451728,0.196890949580455,1.05898260227415,0.603282298233198,1.98359224554838,0.855645229434105
"4","Atrina","IUU",2006,460.838,278.675333333333,3334.14841706222,1710.74245861512,5943.79639578177,0.438493489173823,0.224989813265997,0.781703659977324,0.219246744586912,0.112494906632998,0.390851829988662,0.13821760232439,0.077532601945627,0.269378945778348,0.123760093746622,0.0716716279126599,0.213704659015666,1.11681882374271,0.626474977502537,2.17662202430014,0.979435565595891
"5","Atrina","IUU",2007,926.882,586.212666666667,3572.88181551091,1759.97025506246,6377.14790489748,0.469890724021673,0.2314640506209,0.838696268434245,0.234945362010836,0.11573202531045,0.419348134217123,0.259421399268271,0.145344284595968,0.52664640060471,0.132621627210838,0.0768034964330826,0.229006449196944,1.95610176653805,1.09593199580415,3.97104463035628,1.83830815067728
"6","Atrina","IUU",2008,499.08,628.933333333333,3512.44426811219,1674.83100342533,6038.36905322211,0.461942226318226,0.220266886354017,0.794141466983527,0.230971113159113,0.110133443177009,0.397070733491763,0.142089087229343,0.0826514569747419,0.297988274028419,0.130378248813642,0.0755043168923796,0.225132660797937,1.08982202570031,0.633935934305121,2.28556739133958,1.00686962568528
"7","Atrina","IUU",2009,304.792,576.918,3379.8798861017,1553.32669767623,5598.11003892324,0.444507903925592,0.204287139710191,0.736240411849862,0.222253951962796,0.102143569855096,0.368120205924931,0.0901783525661151,0.0544455178409864,0.196218863974956,0.125457597932858,0.0726546821810672,0.21663585066489,0.7187954659739,0.43397545256784,1.5640253536495,0.639020531862554
"8","Atrina","IUU",2010,383.414,395.762,3272.82060574708,1424.49082652164,5282.26891020746,0.430427907621018,0.187343175732996,0.694702285398608,0.215213953810509,0.0936715878664978,0.347351142699304,0.11715093681784,0.0725850967676202,0.269158630481483,0.121483669686194,0.0703533110522636,0.20977380850577,0.964334853568825,0.597488509814657,2.21559515922386,0.830153266535301
"9","Atrina","IUU",2011,645.136,444.447333333333,3332.79161515044,1345.17978150678,5383.35118573302,0.438315048165807,0.176912513234404,0.707996210606619,0.219157524082904,0.088456256617202,0.353998105303309,0.193572258483637,0.119839107229293,0.479590913325626,0.123709730682117,0.0716424617839792,0.213617693813869,1.56472944703952,0.968712053356821,3.87674365372257,1.37168892589117
"10","Atrina","IUU",2012,564.416,530.988666666667,3349.57665402391,1234.30359843234,5427.47200528432,0.440522547455245,0.162330533579934,0.713798799360993,0.220261273727622,0.0811652667899671,0.356899399680496,0.168503682195766,0.103992429523445,0.45727485581088,0.124332773727799,0.0720032768738181,0.214693543044414,1.35526359738962,0.836404001981934,3.6778304070654,1.19404834479087
"11","Atrina","IUU",2013,1025.9842,745.178733333333,3283.18577576925,1043.22065192956,5307.09967889797,0.431791092158828,0.137200090224492,0.697967925988047,0.215895546079414,0.0686000451122459,0.348983962994023,0.312496541490898,0.19332295643127,0.983477654609617,0.121868413930655,0.0705761231518326,0.210438171589876,2.56421275547831,1.5863253668114,8.06999634186778,2.21440845243116
"12","Atrina","IUU",2014,414.95,668.450066666667,2860.76154656516,706.314965903577,4757.93300655377,0.376235594620876,0.0928916398171753,0.625743783516799,0.188117797310438,0.0464458199085877,0.312871891758399,0.145048789717626,0.0872122409938163,0.587485781883669,0.106188469408807,0.0614955939162791,0.183362584492419,1.36595612052014,0.821296714034592,5.53248187071941,1.02784262645984
"13","Atrina","IUU",2015,381.228,607.3874,2428.66468727278,230.081589602236,4496.40399934467,0.319407992549367,0.0302593845262112,0.591348563944561,0.159703996274683,0.0151296922631056,0.295674281972281,0.156970207537415,0.0847850860499995,1.65692527011424,0.0901494869987907,0.0522071395802482,0.155667023159795,1.74122130655631,0.94049438186084,18.379752622846,1.11232000422267
"14","Atrina","IUU_20",2000,5.124,5.124,3306.68524704861,1840.20336307066,5578.23770605174,0.356347328510843,0.19831084707327,0.601142823050423,0.178173664255421,0.0991554235366352,0.300571411525211,0.00154958806695419,0.000918569675587876,0.00278447485904483,0.100575219180456,0.0582448628480665,0.173669817707066,0.0154072551825501,0.00913316106167009,0.0276854963054947,0.0109806684479731
"15","Atrina","IUU_20",2005,445.1016,225.1128,3694.26129397123,1990.59125452802,6545.66175367142,0.398114741674506,0.214517507023455,0.70539797561268,0.199057370837253,0.107258753511727,0.35269898780634,0.12048460154304,0.0679994806866312,0.223602710494946,0.112363624473379,0.0650717338713526,0.194025629158051,1.07227407542007,0.605173435845705,1.98999197064814,0.853776233080261
