"","Name","X","Adjusted","r","r.low","r.hi","k","k.low","k.hi","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","year","catch","catch_ma","b","b_lo","b_hi","bbmsy","bbmsy_lo","bbmsy_hi","s","s_lo","s_hi","f","f_lo","f_hi","fmsy","fmsy_lo","fmsy_hi","ffmsy","ffmsy_lo","ffmsy_hi","er","m.rate","p.lo","p.hi","p","f_bar","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"40","Lutjanus",24,"IUU_40",0.380031931320964,0.31056098123495,0.465043188134056,1305.41279706225,832.806820873727,2046.21591468963,124.024636609667,76.3393383352687,201.496513090073,652.706398531127,416.403410436864,1023.10795734481,2015,56.877016,35.398552,249.151887526948,134.713176039496,385.580542004527,0.381721227320045,0.206391689039144,0.590741170719716,0.190860613660023,0.103195844519572,0.295370585359858,0.228282500945726,0.147510078450308,0.422208262563155,0.145066255244646,0.118547718914723,0.177516856531359,1.5736430264967,1.01684625553711,2.91045124071843,1.2013858948759,0.08,2250,2500,2375,1.7,609153.062063682,434669.294761999,851312.871185607,206190.958363571,120234.457878048,352618.897907628
"41","Lutjanus",25,"IUU_60",0.380031931320964,0.31056098123495,0.465043188134056,1501.04756112176,955.0210480855,2359.26086159711,142.611500914431,87.314477665298,232.92861317946,750.523780560878,477.51052404275,1179.63043079856,2015,65.002304,40.455488,291.219119166958,156.278689254498,445.117888692062,0.388021174957741,0.208226165915367,0.593076329119669,0.19401058747887,0.104113082957683,0.296538164559835,0.223207542780643,0.146033906188321,0.415938374643933,0.14746043651262,0.120504236834814,0.18044660426587,1.51367748569998,0.990326013146061,2.82067776605514,1.17467783301677,0.08,2250,2500,2375,1.7,689070.891179927,489088.798635908,968133.817731462,237091.620270242,137520.302322844,407625.073064055
"42","Lutjanus",25,"IUU_60_legal",0.380031931320964,0.31056098123495,0.465043188134056,1501.04756112176,955.0210480855,2359.26086159711,142.611500914431,87.314477665298,232.92861317946,750.523780560878,477.51052404275,1179.63043079856,2015,65.002304,40.455488,291.219119166958,156.278689254498,445.117888692062,0.388021174957741,0.208226165915367,0.593076329119669,0.19401058747887,0.104113082957683,0.296538164559835,0.0892830171122572,0.146033906188321,0.415938374643933,0.14746043651262,0.120504236834814,0.18044660426587,1.51367748569998,0.990326013146061,2.82067776605514,1.17467783301677,0.08,2250,2500,2375,1.7,689070.891179927,489088.798635908,968133.817731462,237091.620270242,137520.302322844,407625.073064055
"43","Micropogonias",27,"IUU_20_legal",0.778800783071405,0.502580225025428,1.20683351534961,1399.1595183271,586.604162536472,3337.25446007827,272.416632128739,112.486163421382,659.732888056327,699.579759163549,293.302081268236,1668.62723003914,2015,165.33804,133.26724,377.567648989812,153.206165716055,550.510674678753,0.539706365205948,0.218997424824348,0.786916241454684,0.269853182602974,0.109498712412174,0.393458120727342,0.350322471625658,0.30033575660723,1.07918659296278,0.389400391535702,0.251290112512714,0.603416757674803,1.12455739401054,0.771277490047653,2.77140602942571,1.12455739401054,0.6,750,750,750,1.7,157405.445811799,100717.797913877,245998.968249854,143018.731867588,59055.2357962255,346359.766229572
"44","Micropogonias",29,"IUU_60",0.798516218759377,0.518274631798374,1.23029010586386,1904.33028599114,780.312843270912,4647.46142449951,380.159654809652,154.332202749659,936.43037920881,952.16514299557,390.156421635456,2323.73071224975,2015,220.45072,177.689653333333,499.126020796531,202.953061845515,756.404069197006,0.524201105730725,0.21314901447349,0.79440428455227,0.262100552865362,0.106574507236745,0.397202142276135,0.441673466849501,0.291445708685874,1.0862152952775,0.399258109379689,0.259137315899187,0.615145052931928,1.10623543134969,0.729968163047913,2.72058417790215,1.10623543134969,0.6,750,750,750,1.7,214237.157174003,134001.332452569,342515.69498568,199583.818775067,81024.406443571,491625.949084625
"45","Micropogonias",28,"IUU_40",0.786627861066553,0.512989449653722,1.20623024942098,1637.94612931756,695.669082608272,3856.52832592116,322.113515061829,138.990893551644,746.502982563633,818.973064658781,347.834541304136,1928.26416296058,2015,192.89438,155.478446666667,461.506066820137,177.279206902839,649.481151188746,0.563518004114604,0.21646524721384,0.793043360295796,0.281759002057302,0.10823262360692,0.396521680147898,0.417967159844893,0.296997656740223,1.08808237226444,0.393313930533277,0.256494724826861,0.60311512471049,1.06268079363014,0.755116037556912,2.76644758244174,1.06268079363014,0.6,750,750,750,1.7,184268.939548226,121924.343942082,278492.719209196,169109.59540746,72970.2191146131,391914.065845907
"46","Micropogonias",28,"IUU_40_legal",0.786627861066553,0.512989449653722,1.20623024942098,1637.94612931756,695.669082608272,3856.52832592116,322.113515061829,138.990893551644,746.502982563633,818.973064658781,347.834541304136,1928.26416296058,2015,192.89438,155.478446666667,461.506066820137,177.279206902839,649.481151188746,0.563518004114604,0.21646524721384,0.793043360295796,0.281759002057302,0.10823262360692,0.396521680147898,0.250780295906936,0.296997656740223,1.08808237226444,0.393313930533277,0.256494724826861,0.60311512471049,1.06268079363014,0.755116037556912,2.76644758244174,1.06268079363014,0.6,750,750,750,1.7,184268.939548226,121924.343942082,278492.719209196,169109.59540746,72970.2191146131,391914.065845907
"47","Micropogonias",26,"IUU",0.786627861066553,0.512989449653722,1.20623024942098,1191.78062935169,492.555470120534,2883.61647501416,234.371961831868,95.8668146026741,572.984684226553,595.890314675847,246.277735060267,1441.80823750708,2015,137.7817,111.056033333333,302.508887557819,126.44116688845,466.79570110228,0.507658674939831,0.212188659178378,0.783358429573081,0.253829337469915,0.106094329589189,0.391679214786541,0.455463312540414,0.295164886211774,1.08969019656039,0.393313930533277,0.256494724826861,0.60311512471049,1.15801469813915,0.750456221602864,2.77053547298192,1.15801469813915,0.6,750,750,750,1.7,134075.320802065,84095.4265245099,213759.444372847,123045.279961731,50330.0776664039,300816.95921894
"48","Micropogonias",27,"IUU_20",0.778800783071405,0.502580225025428,1.20683351534961,1399.1595183271,586.604162536472,3337.25446007827,272.416632128739,112.486163421382,659.732888056327,699.579759163549,293.302081268236,1668.62723003914,2015,165.33804,133.26724,377.567648989812,153.206165716055,550.510674678753,0.539706365205948,0.218997424824348,0.786916241454684,0.269853182602974,0.109498712412174,0.393458120727342,0.437903089532073,0.30033575660723,1.07918659296278,0.389400391535702,0.251290112512714,0.603416757674803,1.12455739401054,0.771277490047653,2.77140602942571,1.12455739401054,0.6,750,750,750,1.7,157405.445811799,100717.797913877,245998.968249854,143018.731867588,59055.2357962255,346359.766229572
"49","Micropogonias",29,"IUU_60_legal",0.798516218759377,0.518274631798374,1.23029010586386,1904.33028599114,780.312843270912,4647.46142449951,380.159654809652,154.332202749659,936.43037920881,952.16514299557,390.156421635456,2323.73071224975,2015,220.45072,177.689653333333,499.126020796531,202.953061845515,756.404069197006,0.524201105730725,0.21314901447349,0.79440428455227,0.262100552865362,0.106574507236745,0.397202142276135,0.1766693867398,0.291445708685874,1.0862152952775,0.399258109379689,0.259137315899187,0.615145052931928,1.10623543134969,0.729968163047913,2.72058417790215,1.10623543134969,0.6,750,750,750,1.7,214237.157174003,134001.332452569,342515.69498568,199583.818775067,81024.406443571,491625.949084625
