,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
14,Dasyatis,IUU,0.609570907,0.42284483,0.87875425,950.9694793,584.3196679,1547.685283,144.9208321,114.2594157,183.8102132,475.4847396,292.1598339,773.8426414,2015,99.2017,98.16716667,395.4552574,291.5828557,550.5904691,0.831688642,0.613232837,1.15795613,0.415844321,0.306616418,0.578978065,0.250854422,0.180173297,0.340217877,0.304785454,0.211422415,0.439377125,0.823052475,0.591147952,1.116253655,0.823052475
15,Dasyatis,IUU_20,0.609570907,0.42284483,0.87875425,1130.846201,694.5367881,1841.246068,172.3327362,135.753871,218.7677724,565.4231004,347.2683941,920.6230338,2015,119.04204,117.8006,467.5896017,345.5844847,650.7484422,0.826972936,0.611196261,1.150905299,0.413486468,0.30559813,0.575452649,0.254586585,0.182930964,0.344465812,0.304785454,0.211422415,0.439377125,0.83529769,0.600195849,1.130191115,0.83529769
16,Dasyatis,IUU_40,0.609570907,0.42284483,0.87875425,1321.734043,810.6487192,2155.040573,201.4226549,158.2379712,256.3928595,660.8670214,405.3243596,1077.520286,2015,138.88238,137.4340333,557.6380829,405.6108483,766.6072035,0.843797715,0.61375562,1.160002207,0.421898858,0.30687781,0.580001104,0.24905469,0.181164982,0.342403021,0.304785454,0.211422415,0.439377125,0.817147562,0.594401667,1.123423108,0.817147562
17,Dasyatis,IUU_60,0.609570907,0.42284483,0.87875425,1520.759354,936.2662275,2470.140378,231.7526648,183.4262936,292.8113336,760.379677,468.1331138,1235.070189,2015,158.72272,157.0674667,634.2571292,465.3869367,877.393225,0.834132143,0.61204547,1.153888316,0.417066071,0.306022735,0.576944158,0.2502498,0.180902605,0.341055383,0.304785454,0.211422415,0.439377125,0.821068714,0.59354081,1.119001511,0.821068714
18,Epinephelus,IUU,0.447087927,0.409476813,0.488153682,775.7823787,636.5489241,945.4706094,86.71073379,69.90265188,107.5603164,387.8911894,318.274462,472.7353047,2015,423.57876,241.1251533,275.744973,148.2062378,309.1935956,0.71088228,0.382081991,0.797114253,0.35544114,0.191040995,0.398557126,1.536125048,1.369946745,2.858035979,0.223543963,0.204738407,0.244076841,6.871691035,6.128310178,12.78511814,6.871691035
19,Epinephelus,IUU_20,0.448767654,0.412482087,0.48824522,931.8352823,757.1665416,1146.797891,104.5443833,82.60117879,132.3168537,465.9176412,378.5832708,573.3989457,2015,508.294512,289.350184,329.3248154,153.591711,371.6931645,0.706830535,0.329654208,0.79776581,0.353415267,0.164827104,0.398882905,1.543444309,1.367511056,3.309387653,0.224383827,0.206241043,0.24412261,6.878589826,6.09451704,14.7487798,6.878589826
20,Epinephelus,IUU_40,0.442086374,0.40059173,0.487879173,1106.193143,894.1820268,1368.472226,122.2582288,97.73775137,152.9304113,553.0965714,447.0910134,684.2361132,2015,593.010264,337.5752147,394.2305509,222.5724385,440.3182501,0.712769833,0.402411532,0.79609651,0.356384917,0.201205766,0.398048255,1.504221991,1.346776482,2.664347248,0.221043187,0.200295865,0.243939587,6.805104521,6.092820598,12.05351445,6.805104521
21,Epinephelus,IUU_60,0.44374731,0.403531794,0.487970659,1250.798968,1016.974791,1538.384306,138.7596693,111.4215841,172.80535,625.3994838,508.4873953,769.1921529,2015,677.726016,385.8002453,445.964712,243.5190782,498.1754807,0.713087752,0.389381643,0.796571621,0.356543876,0.194690821,0.398285811,1.519685297,1.360416243,2.783051007,0.221873655,0.201765897,0.243985329,6.849327367,6.131490659,12.54340452,6.849327367
22,Lutjanus,IUU,0.380031931,0.310560981,0.465043188,925.0937517,590.4289726,1449.45199,87.89129128,54.14394091,142.6730111,462.5468759,295.2144863,724.7259952,2015,40.62644,25.28468,180.2612746,96.88455797,272.7298185,0.389714608,0.209458896,0.589626333,0.194857304,0.104729448,0.294813167,0.225375306,0.148962223,0.419328331,0.148103995,0.121030151,0.181234124,1.521736844,1.005794763,2.831310055,1.186086157
23,Lutjanus,IUU_20,0.380031931,0.310560981,0.465043188,1121.477322,711.8936141,1766.712551,106.5492981,64.94328928,174.8102546,560.7386608,355.9468071,883.3562755,2015,48.751728,30.341616,217.0206328,117.7046622,331.937087,0.387026342,0.209910018,0.591963976,0.193513171,0.104955009,0.295981988,0.224640982,0.146870386,0.41418689,0.147082368,0.120195281,0.179983964,1.527314146,0.998558749,2.816019996,1.182221614
