"","Name","Adjusted","Year","Catch","Biomass","Biomass_MPA","Fishing","PV","Implementation_year","Reserve_size"
"12562","Scomberomorus","IUU_40_legal",2110,2616.36055157357,3628.15742521007,157.900407700937,0.721005046423064,-0.343695518521653,0,0
"12572","Scomberomorus","IUU_40_legal",2111,2615.78904753214,3627.75466442542,157.882879218942,0.720969004640333,-0.365115922856755,0,0
"12582","Scomberomorus","IUU_40_legal",2112,2615.35549640285,3627.54628076046,157.873810189735,0.720929538606791,-0.363458897043391,0,0
"12592","Scomberomorus","IUU_40_legal",2113,2615.05567960412,3627.51396363222,157.872403721623,0.720888302231642,-0.345238817557805,0,0
"12602","Scomberomorus","IUU_40_legal",2114,2614.88180849076,3627.63632556672,157.877729014073,0.720846793342868,-0.315927594311276,0,0
"12613","Scomberomorus","IUU_40_legal",2115,2614.82321744538,3627.88994477966,157.888766731689,0.72080632752978,-0.279989689794146,0,0
"12622","Scomberomorus","IUU_40_legal",2116,2614.86705551686,3628.2503376646,157.904451327695,0.720768020893113,-0.2409545355379,0,0
"12632","Scomberomorus","IUU_40_legal",2117,2614.99895635911,3628.69284123684,157.92370944863,0.72073278109093,-0.201512439099772,0,0
"12642","Scomberomorus","IUU_40_legal",2118,2615.20366938834,3629.19339052743,157.945493767169,0.720701305899718,-0.163622901570103,0,0
"12652","Scomberomorus","IUU_40_legal",2119,2615.46563829011,3629.72918069989,157.968811797993,0.720674088384694,-0.12862680994157,0,0
"12662","Scomberomorus","IUU_40_legal",2120,2615.76951619785,3630.27920818851,157.992749448575,0.720651427689566,-0.097356190167819,0,0
"12672","Scomberomorus","IUU_40_legal",2121,2616.10060997048,3630.82468935279,158.016489239366,0.720633444410988,-0.0702370931104372,0,0
"12682","Scomberomorus","IUU_40_legal",2122,2616.4452489576,3631.34935893392,158.03932329287,0.720620099513533,-0.0473827445794459,0,0
"12692","Scomberomorus","IUU_40_legal",2123,2616.79107640258,3631.83965392249,158.060661335715,0.720611215763281,-0.0286753434130444,0,0
"12702","Scomberomorus","IUU_40_legal",2124,2617.12726414569,3632.2847912493,158.080034079825,0.720606500708014,-0.0138358673453587,0,0
"12713","Scomberomorus","IUU_40_legal",2125,2617.44465350795,3632.67674995869,158.097092446582,0.720605570304882,-0.00248197887228029,0,0
"12722","Scomberomorus","IUU_40_legal",2126,2617.73582712772,3633.01017019807,158.111603170777,0.720607972387714,0.00582535250634499,0,0
"12732","Scomberomorus","IUU_40_legal",2127,2617.99511806044,3633.28218246085,158.123441369113,0.720613209270954,0.0115455449767493,0,0
"12742","Scomberomorus","IUU_40_legal",2128,2618.21856362637,3633.49218107371,158.132580682186,0.720620758900986,0.0151312403836493,0,0
"12752","Scomberomorus","IUU_40_legal",2129,2618.40381229958,3633.64155596235,158.139081600712,0.720630094083713,0.0170090085415086,0,0
"12762","Scomberomorus","IUU_40_legal",2130,2618.54999238713,3633.73339631647,158.143078568774,0.720640699435643,0.0175666349188883,0,0
"12772","Squatina","IUU_40_legal",2015,20.1396642378025,2219.63424169371,96.6003154314903,0.00964686959754442,8332.74811687567,0,0
"12782","Squatina","IUU_40_legal",2016,21.9692322635867,2356.16904284373,102.542422743911,0.00989768127149764,9187.59889493494,0,0
"12792","Squatina","IUU_40_legal",2017,24.0257041435647,2496.89023546413,108.666725270733,0.0101969356640759,9965.56965058289,0,0
"12802","Squatina","IUU_40_legal",2018,26.3415715144906,2641.30450041971,114.951753355753,0.0105497515030308,10681.124652513,0,0
"12813","Squatina","IUU_40_legal",2019,28.954078166508,2788.82398808825,121.371923297896,0.0109620371910574,11346.8283141785,0,0
"12822","Squatina","IUU_40_legal",2020,31.9058208146161,2938.76291216496,127.897389110775,0.0114406003931742,11973.547490809,0,0
"12832","Squatina","IUU_40_legal",2021,35.2453770420483,3090.33532599279,134.493945746749,0.0119932699899508,12570.6121886568,0,0
"12842","Squatina","IUU_40_legal",2022,39.0279382846184,3242.65418389424,141.122988245309,0.0126290302402962,13145.9368041103,0,0
"12852","Squatina","IUU_40_legal",2023,43.3159135156911,3394.73175133815,147.741529583869,0.0133581661994161,13706.1033120115,0,0
"12862","Squatina","IUU_40_legal",2024,48.1794529403369,3545.4813912048,154.30227841751,0.0141924182732098,14256.4072755097,0,0
"12872","Squatina","IUU_40_legal",2025,53.6968196525503,3693.72072662379,160.753776728287,0.0151451421479055,14800.8672083516,0,0
"12882","Squatina","IUU_40_legal",2026,59.9545100822792,3838.17617314292,167.040597068965,0.0162314680831542,15342.1977664171,0,0
"12892","Squatina","IUU_40_legal",2027,67.0469907076134,3977.48885455128,173.103600024526,0.0174684505564817,15881.7475940851,0,0
"12902","Squatina","IUU_40_legal",2028,75.0758791633602,4110.22197756288,178.880255164493,0.0188751953578585,16419.4035570051,0,0
"12913","Squatina","IUU_40_legal",2029,84.1483540132052,4234.86984905591,184.305033480629,0.0204729463451266,16953.464750603,0,0
"12922","Squatina","IUU_40_legal",2030,94.374532575322,4349.86888002844,189.309886288172,0.0222851081471514,17480.4923112277,0,0
"12932","Squatina","IUU_40_legal",2031,105.863516879531,4453.61113052534,193.824834712254,0.0243371742457762,17995.1449142927,0,0
"12942","Squatina","IUU_40_legal",2032,118.717784956993,4544.46119694616,197.778704637475,0.0266565224213883,18490.0151275087,0,0
"12952","Squatina","IUU_40_legal",2033,133.02561456024,4620.77750054087,201.100053200827,0.0292720322157514,18955.4885888093,0,0
"12962","Squatina","IUU_40_legal",2034,148.851291566528,4680.93925830462,203.718342587305,0.0322134730679209,19379.6561462016,0,0
"12972","Squatina","IUU_40_legal",2035,166.223003707882,4723.38053799105,205.56542213222,0.0355106089900612,19748.3180552759,0,0
"12982","Squatina","IUU_40_legal",2036,185.11858215797,4746.63272850581,206.577376667794,0.039191968690438,20045.1278585406,0,0
"12992","Squatina","IUU_40_legal",2037,205.449654153557,4749.37638947594,206.69678305925,0.0432832422276393,20251.9295814106,0,0
"13002","Squatina","IUU_40_legal",2038,227.045316820538,4730.502670978,205.875383242101,0.0478052902531887,20349.3422912449,0,0
"13013","Squatina","IUU_40_legal",2039,249.637107404306,4689.18323349604,204.077127196472,0.0527717929292905,20317.6369273725,0,0
"13022","Squatina","IUU_40_legal",2040,272.847742957281,4624.94583459969,201.281462541763,0.0581866242735535,20137.9273853791,0,0
"13032","Squatina","IUU_40_legal",2041,296.186674676179,4537.75058931279,197.486653450868,0.0640411121056544,19793.657850547,0,0
"13042","Squatina","IUU_40_legal",2042,319.055717785328,4428.05963358206,192.712812461875,0.0703114266651766,19272.3109589937,0,0
"13052","Squatina","IUU_40_legal",2043,340.767609122664,4296.89099497977,187.004244975534,0.0769564182330133,18567.1914281123,0,0
"13062","Squatina","IUU_40_legal",2044,360.579086623659,4145.84652423329,180.430664858498,0.0839162750567651,17679.0694218391,0,0
